rank,stock_code,composite_score
1,601668.SH,0.8976004797638112
2,601818.SH,0.8913745723531485
3,600018.SH,0.8864212556275131
4,601319.SH,0.8776117708100104
5,601658.SH,0.8857540881024164
6,601916.SH,0.8831314993389111
7,601128.SH,0.8682462634790215
8,002948.SZ,0.8742766823940341
9,601988.SH,0.8734889656549706
10,600795.SH,0.871828216940973
11,600023.SH,0.8714340745691596
12,000166.SZ,0.869843556354917
13,600027.SH,0.8664719102869186
14,600582.SH,0.8587340566139406
15,600064.SH,0.8425356990287911
16,600998.SH,0.850735782105979
17,600269.SH,0.8451427846365057
18,000783.SZ,0.8436027047705689
19,601901.SH,0.8445879914645403
20,601298.SH,0.8397636971551591
21,000563.SZ,0.8485593800437877
22,601728.SH,0.8462343130566051
23,600704.SH,0.8450030402866372
24,600901.SH,0.8398464294610298
25,600011.SH,0.837097082267945
26,601766.SH,0.843077131958175
27,600642.SH,0.8340976106652032
28,000598.SZ,0.8354384712869783
29,002608.SZ,0.8311648201116332
30,601186.SH,0.833375187050889
