month,stock_code,stock_name,industry,rank,score,pb,pe_ttm,roe_ttm,market_cap,volatility_20,excess_month,stock_return,stock_excess
2025-04,601916.SH,浙商银行,银行,1,0.9167298817362692,0.46,5.3,2.9694,0.080471,0.004942008225904936,-0.0018549059449983,0.018024513338139814,0.015866871688069713
2025-04,601668.SH,中国建筑,建筑装饰,2,0.8992175949597517,0.49,4.33,3.1963,0.21775799999999998,0.01071428377612856,-0.0018549059449983,0.052015604681404426,0.04985796303133433
2025-04,601658.SH,邮储银行,银行,3,0.8852784602439298,0.62,5.92,2.4947,0.511671,0.010364232256468155,-0.0018549059449983,0.015010867136560302,0.012853225486490202
2025-04,601288.SH,农业银行,银行,4,0.8833444438036041,0.69,6.36,2.3099,1.7954130000000001,0.009035320071645163,-0.0018549059449983,0.05117707267144311,0.04901943102137302
2025-04,002958.SZ,青农商行,银行,5,0.8866251776660431,0.49,6.34,2.8835,0.017278,0.007652752473380867,-0.0018549059449983,-0.0033444816053512794,-0.00550212325542138
2025-04,600219.SH,南山铝业,有色金属,6,0.8846546782408293,0.89,9.23,3.3346,0.044596,0.012691336489821613,-0.0018549059449983,-0.046355313477807414,-0.04851295512787751
2025-04,600018.SH,上港集团,交通运输,7,0.8766693760906231,1.01,8.97,2.8857,0.134101,0.008240402310816738,-0.0018549059449983,-0.05211141060197666,-0.05426905225204676
2025-04,601818.SH,光大银行,银行,8,0.8841405804024047,0.46,5.3,2.1232,0.22098,0.01132936926722993,-0.0018549059449983,0.008450704225352101,0.006293062575282001
2025-04,002948.SZ,青岛银行,银行,9,0.8804608350182986,0.65,5.68,2.8322,0.024213,0.010112735967578767,-0.0018549059449983,0.09000000000000008,0.08784235834992998
2025-04,601857.SH,中国石油,石油石化,10,0.8629310291772437,1.0,9.17,3.0394,1.509923,0.007934370277458327,-0.0018549059449983,-0.037275064267352165,-0.03943270591742226
2025-04,600998.SH,九州通,医药生物,11,0.866541669757347,1.05,12.62,3.4967,0.025817000000000003,0.009356699137918319,-0.0018549059449983,0.028455284552845406,0.026297642902775305
2025-04,600795.SH,国电电力,公用事业,12,0.8605260878976398,1.43,8.94,3.1782,0.082044,0.01199998282836079,-0.0018549059449983,-0.0227790432801821,-0.0249366849302522
2025-04,600901.SH,江苏金租,非银金融,13,0.858015561144672,1.31,10.75,3.1479,0.030583999999999997,0.00949246131032144,-0.0018549059449983,0.02254098360655754,0.02038334195648744
2025-04,600582.SH,天地科技,机械设备,14,0.8529436402020885,1.09,10.17,5.7107,0.026652999999999996,0.013692176806279247,-0.0018549059449983,-0.03593009962436722,-0.038087741274437314
2025-04,601919.SH,中远海控,交通运输,15,0.8420639577583248,0.99,4.72,4.8849,0.231923,0.010700014999307575,-0.0018549059449983,0.0023183925811438577,0.0001607509310737579
2025-04,601669.SH,中国电建,建筑装饰,16,0.8570323157772932,0.61,6.73,1.5886,0.082858,0.009674951316181029,-0.0018549059449983,-0.014968717302641266,-0.017126358952711366
2025-04,601868.SH,中国能建,建筑装饰,17,0.8596669961787443,0.89,11.37,1.3798,0.095473,0.00733982017024282,-0.0018549059449983,-0.030921459492888048,-0.033079101142958145
2025-04,601319.SH,中国人保,非银金融,18,0.8420722586853151,1.14,7.13,4.6887,0.305588,0.016250213694724753,-0.0018549059449983,0.05209883894016065,0.049941197290090555
2025-04,600704.SH,物产中大,交通运输,19,0.850771305766814,0.73,8.34,2.3011,0.026846,0.012534962438287188,-0.0018549059449983,0.010288065843621297,0.008130424193551197
2025-04,601117.SH,中国化学,建筑装饰,20,0.8452584925697924,0.73,8.0,2.2917,0.044349,0.010939278353433389,-0.0018549059449983,0.03011184399197009,0.02795420234189999
2025-04,601326.SH,秦港股份,交通运输,21,0.8513887231259948,0.97,12.03,2.1548,0.01883,0.008188975866497047,-0.0018549059449983,-0.0547945205479452,-0.0569521621980153
2025-04,600905.SH,三峡能源,公用事业,22,0.8480640066928121,1.44,18.0,2.7813,0.12305999999999999,0.006972096433244938,-0.0018549059449983,0.0,-0.0021576416500701
2025-04,600578.SH,京能电力,公用事业,23,0.8488099778840597,1.15,16.95,3.7093,0.024837,0.013109026059079912,-0.0018549059449983,0.1253481894150419,0.12319054776497179
2025-04,600863.SH,华能蒙电,公用事业,24,0.8422430281179539,1.59,11.57,4.0597,0.026499,0.013237501886108014,-0.0018549059449983,-0.01302083333333326,-0.01517847498340336
2025-04,600064.SH,南京高科,房地产,25,0.8352397804590314,0.67,7.33,3.6337,0.012666,0.011940340059966645,-0.0018549059449983,-0.008547008547008517,-0.010704650197078617
2025-04,600028.SH,中国石化,石油石化,26,0.8411045199075966,0.85,13.81,1.6032,0.694943,0.008294745082256595,-0.0018549059449983,-0.016357688113413316,-0.018515329763483416
2025-04,601598.SH,中国外运,交通运输,27,0.8410724878730219,0.95,9.63,1.6203,0.037711,0.008393236062588768,-0.0018549059449983,-0.09221311475409844,-0.09437075640416853
2025-04,600269.SH,赣粤高速,交通运输,28,0.8389863437307176,0.65,9.44,2.2671,0.012074,0.006910089709911592,-0.0018549059449983,-0.010000000000000009,-0.01215764165007011
2025-04,601390.SH,中国中铁,建筑装饰,29,0.8404478683460306,0.45,4.93,1.6769,0.13756500000000002,0.013905462540159494,-0.0018549059449983,0.0,-0.0021576416500701
2025-04,002608.SZ,江苏国信,公用事业,30,0.8335994237946639,0.93,9.18,2.6251,0.02962,0.011028418124689372,-0.0018549059449983,-0.05813953488372092,-0.06029717653379102
2025-05,601916.SH,浙商银行,银行,1,0.9145822139753842,0.46,5.38,2.9694,0.081845,0.012870665952166408,0.0604649969230126,0.10623229461756378,0.12931804780534098
2025-05,601668.SH,中国建筑,建筑装饰,2,0.9004023665447103,0.49,4.94,3.1963,0.228502,0.01755182025698265,0.0604649969230126,0.030426927831130657,0.053512681018907854
2025-05,601658.SH,邮储银行,银行,3,0.8890316476335642,0.6,5.92,2.4947,0.5077050000000001,0.012126039857813157,0.0604649969230126,0.05803482089253542,0.08112057408031262
2025-05,601818.SH,光大银行,银行,4,0.8888043441842738,0.46,5.34,2.1232,0.222753,0.02007150564996206,0.0604649969230126,0.07262569832402233,0.09571145151179952
2025-05,600018.SH,上港集团,交通运输,5,0.8805950712433652,0.93,8.4,2.8857,0.127349,0.017179954315723535,0.0604649969230126,0.06824644549763015,0.09133219868540735
2025-05,600016.SH,民生银行,银行,6,0.8850705902898859,0.31,5.5,1.9678,0.173816,0.015445579519533355,0.0604649969230126,0.13520678685047738,0.15829254003825458
2025-05,601288.SH,农业银行,银行,7,0.8800013619184709,0.71,6.64,2.3099,1.882909,0.016752177674298263,0.0604649969230126,0.03700097370983446,0.06008672689761166
2025-05,002958.SZ,青农商行,银行,8,0.8828302554314537,0.48,5.85,2.8835,0.017222,0.021143180144292683,0.0604649969230126,0.13758389261744974,0.16066964580522694
