signal_date,buy_date,sell_date,portfolio_ret,benchmark_ret,excess_ret,n_stocks,top_stocks,cum_portfolio,cum_benchmark,cum_excess
2023-07-05,2023-07-06,2023-07-13,-0.037517123476505834,0.015633116616645102,-0.05315024009315093,10,"300124.SZ,300394.SZ,600111.SH,300418.SZ,688256.SH,300033.SZ,601360.SH,601360.SH,601238.SH,601238.SH",0.9624828765234942,1.015633116616645,0.946849759906849
2023-07-12,2023-07-13,2023-07-20,-0.049485208277271195,-0.01710898822775507,-0.032376220049516125,10,"688506.SH,002028.SZ,300476.SZ,002463.SZ,002459.SZ,688047.SH,688256.SH,600010.SH,688041.SH,688008.SH",0.914854210915422,0.9982566615807327,0.9161943437262734
2023-07-19,2023-07-20,2023-07-27,0.0011532398781016434,0.01424124479185611,-0.013088004913754466,10,"300628.SZ,601136.SH,601059.SH,300394.SZ,000977.SZ,688082.SH,603019.SH,688506.SH,601058.SH,688472.SH",0.9159092572740988,1.012473079063405,0.9042031876536298
2023-07-26,2023-07-27,2023-08-03,0.04521833239355161,0.028355764700047987,0.01686256769350362,10,"688472.SH,601136.SH,300628.SZ,002463.SZ,002736.SZ,600999.SH,600048.SH,601229.SH,600029.SH,601825.SH",0.9573251465118499,1.04118252745846,0.919450375114121
2023-08-02,2023-08-03,2023-08-10,0.056060230065206516,-0.005639140932699309,0.061699370997905824,10,"601136.SH,300803.SZ,300033.SZ,601456.SH,688256.SH,600918.SH,600918.SH,300476.SZ,601377.SH,601236.SH",1.0109930144725117,1.0353111524494578,0.9761798849224509
2023-08-09,2023-08-10,2023-08-17,0.010785152538742161,-0.03438111719969666,0.04516626973843882,10,"601136.SH,300803.SZ,601059.SH,601456.SH,000895.SZ,300832.SZ,302132.SZ,688506.SH,000063.SZ,000063.SZ",1.0218967283492004,0.9997159983789401,1.0202702889180963
2023-08-16,2023-08-17,2023-08-24,-0.027245027419586863,-0.030388894925876337,0.0031438675062894737,10,"601136.SH,601059.SH,601456.SH,300803.SZ,300394.SZ,601138.SH,003816.SZ,300442.SZ,600025.SH,600025.SH",0.9940551239653403,0.9693357339484849,1.0234778835270584
2023-08-23,2023-08-24,2023-08-31,-0.001326792869321612,0.011574650325395905,-0.012901443194717517,10,"601059.SH,300661.SZ,300442.SZ,601136.SH,002463.SZ,605117.SH,601995.SH,300476.SZ,300803.SZ,300759.SZ",0.9927362187151506,0.9805554561168497,1.0102735417516844
2023-08-30,2023-08-31,2023-09-07,-0.020172667902432127,-0.0008800277142712997,-0.019292640188160827,10,"300033.SZ,601689.SH,603799.SH,603392.SH,601995.SH,601127.SH,688041.SH,300803.SZ,688271.SH,688472.SH",0.9727100806602936,0.9796925401400869,0.9907826978190503
2023-09-06,2023-09-07,2023-09-14,0.007220362644530133,-0.00017829444703003136,0.007398657091560165,10,"601127.SH,301236.SZ,300803.SZ,601995.SH,600039.SH,603799.SH,300033.SZ,000776.SZ,601872.SH,600918.SH",0.9797334001906511,0.9795178664003832,0.9981131592524642
2023-09-13,2023-09-14,2023-09-21,0.000707072386242626,-0.016280977342952144,0.016988049729194772,10,"601127.SH,600039.SH,300803.SZ,301236.SZ,601059.SH,300476.SZ,300498.SZ,600027.SH,600027.SH,603799.SH",0.9804261426238055,0.9635703582105016,1.0150691552372089
2023-09-20,2023-09-21,2023-09-28,0.05369924652187217,0.010550222604720811,0.043149023917151356,10,"300308.SZ,601059.SH,601825.SH,600519.SH,300418.SZ,600406.SH,300251.SZ,000708.SZ,300498.SZ,002415.SZ",1.0330742877530494,0.9737362399849329,1.0588683984941016
