factor,IC,ICIR,RankIC,RankICIR,IC_positive,n_days,abs_ICIR
adx_14,0.013381975761283344,0.13056414354810464,0.0019874435113181417,0.019348167772362364,0.5611888111888111,572,0.13056414354810464
mom_vol_cross,-0.017992815114570713,-0.10712266396973905,-0.03178440028067767,-0.18333053673225141,0.48013816925734026,579,0.10712266396973905
price_volume_corr_10d,-0.01061286437391765,-0.10079808718712843,-0.02391643282215185,-0.20854605541715868,0.47796610169491527,590,0.10079808718712843
momentum_accel_20d,0.013012455337333152,0.10009627033515725,0.006509233699362985,0.04693827007174054,0.5402504472271914,559,0.10009627033515725
vol_ratio_5d,-0.008978202068961681,-0.0920960834635296,-0.013477643517018066,-0.13186756600520977,0.43025210084033616,595,0.0920960834635296
lower_shadow_ratio,-0.008214238209311926,-0.08985289680974057,-0.004272188657070395,-0.04172519891848282,0.4607679465776294,599,0.08985289680974057
momentum_20d,-0.01362639945689153,-0.08187520069286561,-0.029913661046696627,-0.17620567001137322,0.4749568221070812,579,0.08187520069286561
ma60_bias,-0.012270716015002722,-0.06946414974154524,-0.03131179010703153,-0.1677171056805333,0.49444444444444446,540,0.06946414974154524
macd_dif,-0.009988436124343901,-0.06597059774185657,-0.021067634328499396,-0.12008437568364182,0.48586572438162545,566,0.06597059774185657
macd_signal,-0.00930887770835332,-0.06252456447235587,-0.020392393213938077,-0.11914173196246268,0.4717314487632509,566,0.06252456447235587
vol_ratio_10d,-0.005745732162948265,-0.05768898634717986,-0.011115475659574289,-0.10684602692216184,0.4559322033898305,590,0.05768898634717986
body_ratio,0.005268772302971558,0.05711339718040822,0.004124996075627261,0.040624501063799695,0.48914858096828046,599,0.05711339718040822
vol_change_10d,0.004929499945133853,0.052540969081285825,-0.003027696442970716,-0.030502578929469466,0.4905008635578584,579,0.052540969081285825
momentum_60d,-0.009422701759598653,-0.05179194904217133,-0.027636265649524223,-0.14603468513413745,0.47866419294990725,539,0.05179194904217133
momentum_slope_10d,0.0070101901737721455,0.050896790734101964,-0.002360378859897694,-0.01588930032878212,0.535958904109589,584,0.050896790734101964
vol_mom_accel_cross,0.00688995846212063,0.04952410645155414,0.00039415511922307004,0.0026309547462966174,0.538860103626943,579,0.04952410645155414
new_low_20d,-0.003952039034247104,-0.04842265482264122,0.0019594083862140093,0.02175996752997252,0.46265938069216755,549,0.04842265482264122
new_high_20d,0.004570469907342024,0.04625284843909487,-0.007125450278219675,-0.07545786308940862,0.5103448275862069,580,0.04625284843909487
ret_5d,0.006068495606019517,0.043525258787644926,-0.00809491344625919,-0.052978095387409704,0.5286195286195287,594,0.043525258787644926
momentum_5d,0.006068495606019516,0.04352525878764492,-0.00809491344625919,-0.052978095387409704,0.5286195286195287,594,0.04352525878764492
adx_rsi_cross,-0.005733334521178045,-0.03753605750647517,-0.027910320662783834,-0.17103707339987748,0.5052447552447552,572,0.03753605750647517
ma20_bias,-0.005730454381115417,-0.036640315293030995,-0.024504938875564458,-0.14939884811242873,0.496551724137931,580,0.036640315293030995
vol_change_20d,-0.003528946337537885,-0.03564775132812199,-0.009285256139654006,-0.08998851238532529,0.49731663685152055,559,0.03564775132812199
kdj_k,0.004525421778501817,0.033657843937850325,-0.005526645579348283,-0.03665231271021659,0.4991482112436116,587,0.033657843937850325
vol_ratio_mom_cross,-0.004838727625045065,-0.03242490856946553,-0.022721549924093414,-0.13977645169859673,0.5059422750424448,589,0.03242490856946553
momentum_10d,-0.004714935377601046,-0.031017619506230755,-0.02318889765950704,-0.14134833179915943,0.48217317487266553,589,0.031017619506230755
ret_10d,-0.004714935377601046,-0.031017619506230748,-0.02318889765950704,-0.14134833179915943,0.48217317487266553,589,0.031017619506230748
ma_bull_score,-0.004001245927862501,-0.030446242226590065,-0.019116119476989782,-0.13101329366168737,0.4789915966386555,595,0.030446242226590065
amplitude_5d,-0.004550705114127087,-0.027993738242528914,-0.049181042492588325,-0.30037871586046905,0.4789915966386555,595,0.027993738242528914
momentum_accel_10d,0.003639375948580495,0.02650690632072299,-0.0005252241054204208,-0.0035367234249736408,0.5302245250431779,579,0.02650690632072299
obv_slope_10d,-0.0023028285210138608,-0.026424373177035283,-0.00835460925201041,-0.07260857992299397,0.48983050847457626,590,0.026424373177035283
hist_vol_60d,-0.0056027563537029475,-0.025684619926328988,-0.04946609504510731,-0.21905332880426254,0.49536178107606677,539,0.025684619926328988
ma5_bias,0.003350201670836421,0.02440568999111564,-0.010497716234468147,-0.06958735952613666,0.5378151260504201,595,0.02440568999111564
ma10_bias,0.003400083027933429,0.023684981520377527,-0.013303117110534673,-0.08453671311758505,0.5186440677966102,590,0.023684981520377527
ret_1d,0.003375775712262901,0.023526077539871095,-0.00524403835683974,-0.033717828752740306,0.4983277591973244,598,0.023526077539871095
cci_14,0.0030253727788092473,0.022655654445207115,-0.013914944769449452,-0.09419701959121513,0.5307167235494881,586,0.022655654445207115
macd_adx_cross,-0.0028943779225624744,-0.021975215115894987,-0.011774421656004579,-0.07605808137721663,0.4840989399293286,566,0.021975215115894987
amplitude_10d,-0.003432084288204194,-0.020325939359671374,-0.047388434695886536,-0.27860873088258703,0.48983050847457626,590,0.020325939359671374
ret_3d,0.001626968258211701,0.011952766614317569,-0.012244406915921914,-0.08241743888600911,0.5218120805369127,596,0.011952766614317569
kdj_d,0.0015749861268722486,0.011528907499113073,-0.00823104396857485,-0.05392893157039372,0.4991482112436116,587,0.011528907499113073
willr_14,0.0014509293542181879,0.010895680645094738,-0.012415418640778608,-0.08553915115821378,0.5,586,0.010895680645094738
atr_norm_14,-0.002241685821738678,-0.010670679276499477,-0.052152204843169146,-0.2465990182886948,0.48034188034188036,585,0.010670679276499477
rsi_6,0.001430605973017339,0.010287701447416944,-0.017492087308550567,-0.1148332345766937,0.5092748735244519,593,0.010287701447416944
momentum_slope_20d,0.0014057284676728214,0.009633475193640313,-0.009961237361148019,-0.0665826931885564,0.507908611599297,569,0.009633475193640313
turnover_change_5d,-0.0008543732398424251,-0.008301643393602101,-0.006729372646482131,-0.06384735177291688,0.5086206896551724,580,0.008301643393602101
rsi_14,-0.0011835369766870672,-0.007710766439923397,-0.023995938670207807,-0.14682146190406695,0.5094017094017094,585,0.007710766439923397
upper_shadow_ratio,0.0006055799046364176,0.006148029838690187,0.001167401858783336,0.011023282355631603,0.5175292153589316,599,0.006148029838690187
hist_vol_10d,-0.000897974077897778,-0.00520269738352714,-0.04582676532549732,-0.26204183840075496,0.49575551782682514,589,0.00520269738352714
bbands_position,-0.0007031307756132281,-0.005101907491914039,-0.020102552387875713,-0.1345441638774816,0.5155172413793103,580,0.005101907491914039
macd_hist,-0.0003708276051743158,-0.0028176246887139196,-0.010809784095345294,-0.06934167315553157,0.48939929328621906,566,0.0028176246887139196
rsi_bbands_cross,-0.0002755209120772386,-0.001989104850393618,-0.022595598559985323,-0.1500980391980644,0.5120689655172413,580,0.001989104850393618
hist_vol_20d,0.0003030646992668975,0.001586635745812608,-0.04479021859389213,-0.23210487290947124,0.49222797927461137,579,0.001586635745812608
