factor,IC,ICIR,RankIC,RankICIR,IC_positive,n_days,abs_ICIR
bbands_position,0.04089695628948853,0.17700692697901263,0.025090075326899067,0.10254358597971164,0.5761024182076814,703,0.17700692697901263
momentum_20d,0.04891117394471751,0.17675330785742144,0.034690657801211895,0.13446044995443443,0.5641025641025641,702,0.17675330785742144
rsi_14,0.0430713318391754,0.16909784031016956,0.028809296374173943,0.11054041906143598,0.5861581920903954,708,0.16909784031016956
rsi_bbands_cross,0.04031051840693018,0.16809132052441952,0.020218296460867414,0.08448519915196069,0.5561877667140825,703,0.16809132052441952
kdj_k,0.03738257635547356,0.1597688214779574,0.026066530810982657,0.10393307459835394,0.5816901408450704,710,0.1597688214779574
ma_bull_score,0.03679373351766017,0.15968408423142663,0.028999207123480277,0.11771968157206754,0.5654596100278552,718,0.15968408423142663
willr_14,0.035386362719232976,0.15521648578020428,0.02371125616660513,0.09702738827315556,0.5726375176304654,709,0.15521648578020428
kdj_d,0.036290660876073626,0.1549646934073129,0.026242144087970837,0.10445589256293793,0.5746478873239437,710,0.1549646934073129
adx_rsi_cross,0.039565409807865125,0.15270622418149365,0.024084423688247383,0.09298799269092328,0.5640287769784172,695,0.15270622418149365
cci_14,0.035043737373124835,0.1525181924894828,0.019078879937669924,0.07770387723256049,0.5839210155148096,709,0.1525181924894828
macd_dif,0.037704701643721784,0.15072974804994382,0.03765467540296653,0.14149692728953267,0.5689404934687954,689,0.15072974804994382
ma20_bias,0.038038008971890976,0.14437301328232213,0.018221057481885794,0.07235447695710084,0.561877667140825,703,0.14437301328232213
new_high_20d,0.026380588246564262,0.13842649679129024,0.020054976466331687,0.10514860545228207,0.5641838351822503,631,0.13842649679129024
vol_change_20d,0.02641772095001445,0.13824343729133018,0.015996259392559782,0.08179469475572429,0.5615835777126099,682,0.13824343729133018
rsi_6,0.03232572666294103,0.1351490914564168,0.021643032615020454,0.08613496216339049,0.5600558659217877,716,0.1351490914564168
mom_vol_cross,0.03676423413430018,0.13083865363811212,0.028557565782183027,0.11126206012417439,0.5698005698005698,702,0.13083865363811212
ret_5d,0.03047289310854429,0.12256871769563309,0.014668570072011224,0.05847435039190163,0.5550906555090656,717,0.12256871769563309
momentum_5d,0.03047289310854429,0.12256871769563307,0.014668570072011224,0.05847435039190163,0.5550906555090656,717,0.12256871769563307
macd_signal,0.02977597934464991,0.11795420701412196,0.026117763884199074,0.09659494576626852,0.5515239477503628,689,0.11795420701412196
ret_10d,0.03005004092411362,0.11450123022240752,0.008098781615876474,0.0316097267776671,0.5435393258426966,712,0.11450123022240752
momentum_10d,0.03005004092411362,0.11450123022240752,0.008098781615876474,0.0316097267776671,0.5435393258426966,712,0.11450123022240752
ma10_bias,0.028980441714874853,0.11262189752874437,0.008594392125302759,0.03348317013847424,0.5497896213183731,713,0.11262189752874437
adx_14,0.022528121112971956,0.11180526864461159,0.0010254048168229111,0.005549766539407393,0.5294964028776978,695,0.11180526864461159
vol_ratio_mom_cross,0.02904100405751955,0.11167407073448404,0.008498649086199,0.033194146577933424,0.5589887640449438,712,0.11167407073448404
ma60_bias,0.0294009545210584,0.09867905340792499,0.013335940474400641,0.04806546010800365,0.5399698340874811,663,0.09867905340792499
turnover_change_5d,0.02019501638313579,0.09816059265606178,0.004273637538957914,0.022526184191237395,0.5248933143669986,703,0.09816059265606178
momentum_slope_20d,0.02135531174028988,0.0862336886442002,0.012088324202037886,0.05093257976471942,0.5390173410404624,692,0.0862336886442002
new_low_20d,-0.015560362291285745,-0.0857029529059931,-0.012332702479021712,-0.06625754506008653,0.44333333333333336,600,0.0857029529059931
upper_shadow_ratio,0.01647272718255203,0.08517651972199815,0.015602093232511627,0.08027728834289079,0.5401662049861495,722,0.08517651972199815
ma5_bias,0.019643867128846058,0.07836362565174242,0.008708515265581111,0.035206015917841955,0.5431754874651811,718,0.07836362565174242
ret_3d,0.019106792467646985,0.07661501038034678,0.008462197877913158,0.03444366643175945,0.5424200278164116,719,0.07661501038034678
macd_hist,0.01758000865918854,0.07610341406397049,0.02125477592897737,0.08577024962423242,0.5384615384615384,689,0.07610341406397049
obv_slope_10d,0.011559416626137475,0.06729183217919088,0.0076435461890064366,0.0370957194375535,0.5189340813464236,713,0.06729183217919088
macd_adx_cross,0.01435577813970878,0.061713821634177574,0.01925852739100723,0.07715001572393408,0.5283018867924528,689,0.061713821634177574
body_ratio,-0.009695896928706997,-0.053229248506574005,-0.013745230503478116,-0.0760441207372844,0.47229916897506924,722,0.053229248506574005
momentum_60d,0.014681790221234812,0.04842693071238229,-0.0010910955931321554,-0.0038930550762111328,0.5030211480362538,662,0.04842693071238229
hist_vol_60d,-0.014310195521300905,-0.04467733532502261,-0.05385072293433014,-0.1904601115394301,0.4788519637462236,662,0.04467733532502261
vol_change_10d,0.006438283314468444,0.03414626376212137,-0.010297651791726767,-0.05411318010412518,0.50997150997151,702,0.03414626376212137
hist_vol_20d,0.008544529142079989,0.02903182727376589,-0.03468781070177251,-0.1360065815723842,0.49572649572649574,702,0.02903182727376589
atr_norm_14,-0.007577197181545599,-0.02513731663133487,-0.053317642419289255,-0.20734260550408262,0.4745762711864407,708,0.02513731663133487
price_volume_corr_10d,0.004622910744209618,0.023632539077248278,-0.007947291886993382,-0.03935461768409216,0.511921458625526,713,0.023632539077248278
hist_vol_10d,0.005733606394673363,0.021055151521911075,-0.045077268523696326,-0.19169819791051013,0.49719101123595505,712,0.021055151521911075
vol_ratio_10d,0.003973888600595008,0.02081343971940522,0.0012177087695615125,0.006582600659819547,0.48106591865357645,713,0.02081343971940522
momentum_accel_20d,-0.004263561438328263,-0.017459896713881547,-0.011273580742692798,-0.04761486731357565,0.4912023460410557,682,0.017459896713881547
ret_1d,0.004260937269169791,0.016811297719083112,-0.002430451133879565,-0.010132355078059442,0.521497919556172,721,0.016811297719083112
