date,stock_code,prediction,pred_rank
2023-07-05,000001.SZ,-0.007522797,43
2023-07-05,000002.SZ,-0.004670792,32
2023-07-05,000333.SZ,-0.012674733,47
2023-07-05,000568.SZ,0.005433157,5
2023-07-05,000651.SZ,-0.0006828677,14
2023-07-05,000725.SZ,0.0020157069,6
2023-07-05,000858.SZ,-0.0019780656,19
2023-07-05,002027.SZ,0.0016238595,7
2023-07-05,002142.SZ,-0.0038420134,27
2023-07-05,002230.SZ,0.028141284,1
2023-07-05,002304.SZ,-0.0012504943,17
2023-07-05,002352.SZ,-0.001176997,16
2023-07-05,002415.SZ,0.006389613,4
2023-07-05,002475.SZ,-0.0051466753,34
2023-07-05,002594.SZ,-0.003369438,25
2023-07-05,002714.SZ,-0.0020628124,20
2023-07-05,300015.SZ,8.5290274e-05,12
2023-07-05,300059.SZ,-0.008801524,44
2023-07-05,300750.SZ,-0.005778687,37
2023-07-05,300760.SZ,-0.004009695,29
2023-07-05,600000.SH,-0.002363823,21
2023-07-05,600028.SH,-0.0037248032,26
2023-07-05,600030.SH,-0.0065849023,41
2023-07-05,600031.SH,0.00024929197,11
2023-07-05,600036.SH,-0.0027158745,24
2023-07-05,600050.SH,-0.0052095205,36
2023-07-05,600104.SH,0.0086602,3
2023-07-05,600276.SH,-0.0025562423,22
2023-07-05,600309.SH,0.0012082733,8
2023-07-05,600438.SH,-0.0027151061,23
2023-07-05,600519.SH,-0.017664367,49
2023-07-05,600585.SH,-0.0059351833,38
2023-07-05,600690.SH,-0.0009779499,15
2023-07-05,600809.SH,-0.013185076,48
2023-07-05,600887.SH,-0.00024085554,13
2023-07-05,600900.SH,-0.0043411446,30
2023-07-05,601012.SH,-0.020825366,50
2023-07-05,601138.SH,-0.010428003,46
2023-07-05,601166.SH,-0.0013532465,18
2023-07-05,601225.SH,0.0008409902,10
2023-07-05,601288.SH,-0.006218508,39
2023-07-05,601318.SH,-0.005042362,33
2023-07-05,601398.SH,-0.005185253,35
2023-07-05,601601.SH,-0.009820471,45
2023-07-05,601668.SH,-0.004443886,31
2023-07-05,601857.SH,-0.0073423507,42
2023-07-05,601888.SH,0.011935558,2
2023-07-05,601899.SH,-0.0064865886,40
2023-07-05,601919.SH,0.00092562963,9
2023-07-05,601939.SH,-0.003973205,28
2023-07-12,000001.SZ,-0.0029983649,38
2023-07-12,000002.SZ,-0.0023740295,37
2023-07-12,000333.SZ,-0.0045516402,45
2023-07-12,000568.SZ,-0.0033684287,40
2023-07-12,000651.SZ,0.00016176884,16
2023-07-12,000725.SZ,0.0046640327,7
2023-07-12,000858.SZ,-0.00082428457,25
2023-07-12,002027.SZ,0.0069478285,4
2023-07-12,002142.SZ,-0.003843906,42
2023-07-12,002230.SZ,0.0049202447,6
2023-07-12,002304.SZ,-0.0011107593,28
2023-07-12,002352.SZ,0.0034465755,9
2023-07-12,002415.SZ,0.0023311812,12
2023-07-12,002475.SZ,-0.011385811,49
2023-07-12,002594.SZ,-0.0022085705,35
2023-07-12,002714.SZ,-0.00078351697,24
2023-07-12,300015.SZ,-0.0010986447,27
2023-07-12,300059.SZ,-0.00044890688,22
2023-07-12,300750.SZ,-0.0101346085,48
2023-07-12,300760.SZ,-0.0031645405,39
2023-07-12,600000.SH,-0.00010387367,19
2023-07-12,600028.SH,-0.0014563076,31
2023-07-12,600030.SH,-0.0039949673,43
2023-07-12,600031.SH,0.0044070287,8
2023-07-12,600036.SH,-0.0020104195,33
2023-07-12,600050.SH,-0.00048929785,23
2023-07-12,600104.SH,0.011773467,3
2023-07-12,600276.SH,-0.00015136012,20
2023-07-12,600309.SH,-0.0016769058,32
2023-07-12,600438.SH,-0.000947994,26
2023-07-12,600519.SH,-0.008604409,47
2023-07-12,600585.SH,-3.2575237e-05,18
2023-07-12,600690.SH,0.0022494688,13
2023-07-12,600809.SH,0.0059435847,5
2023-07-12,600887.SH,-1.5177066e-06,17
2023-07-12,600900.SH,0.00092464074,15
2023-07-12,601012.SH,0.017365137,2
2023-07-12,601138.SH,-0.02215559,50
2023-07-12,601166.SH,-0.0011783972,29
2023-07-12,601225.SH,-0.0021822692,34
2023-07-12,601288.SH,-0.0022598163,36
2023-07-12,601318.SH,-0.0056849043,46
2023-07-12,601398.SH,-0.00020657925,21
2023-07-12,601601.SH,-0.0041848714,44
2023-07-12,601668.SH,-0.003446856,41
2023-07-12,601857.SH,0.0024932758,10
2023-07-12,601888.SH,0.019038886,1
2023-07-12,601899.SH,-0.0013862583,30
2023-07-12,601919.SH,0.002390038,11
2023-07-12,601939.SH,0.0011312643,14
2023-07-19,000001.SZ,-0.00052684866,26
2023-07-19,000002.SZ,0.001982186,16
2023-07-19,000333.SZ,-0.0033189317,39
2023-07-19,000568.SZ,0.0038371852,11
2023-07-19,000651.SZ,0.0004055007,21
2023-07-19,000725.SZ,0.0020717718,15
2023-07-19,000858.SZ,-0.0057754377,46
2023-07-19,002027.SZ,0.009579217,4
2023-07-19,002142.SZ,-0.0019745869,31
2023-07-19,002230.SZ,0.010833932,3
2023-07-19,002304.SZ,-0.002073097,32
2023-07-19,002352.SZ,-0.004916223,42
2023-07-19,002415.SZ,-0.005585463,44
2023-07-19,002475.SZ,-0.009686857,50
2023-07-19,002594.SZ,-0.0005812812,27
2023-07-19,002714.SZ,-0.00039230933,25
2023-07-19,300015.SZ,-0.0076183905,48
2023-07-19,300059.SZ,-0.0051580104,43
2023-07-19,300750.SZ,-0.0023566743,35
2023-07-19,300760.SZ,-0.006270235,47
2023-07-19,600000.SH,-0.00033155526,24
2023-07-19,600028.SH,-0.005604288,45
2023-07-19,600030.SH,-0.0023258813,34
2023-07-19,600031.SH,0.0154034,2
2023-07-19,600036.SH,-0.003952609,40
2023-07-19,600050.SH,0.006138683,7
2023-07-19,600104.SH,0.015834205,1
2023-07-19,600276.SH,0.003660831,12
2023-07-19,600309.SH,-0.009633471,49
2023-07-19,600438.SH,0.0049464437,9
2023-07-19,600519.SH,0.0069114687,6
2023-07-19,600585.SH,0.0006577928,19
2023-07-19,600690.SH,-0.0019666061,30
2023-07-19,600809.SH,0.00039313527,22
2023-07-19,600887.SH,0.0073109223,5
2023-07-19,600900.SH,0.00045746335,20
2023-07-19,601012.SH,0.0042025885,10
2023-07-19,601138.SH,0.003318469,14
2023-07-19,601166.SH,-0.0010841981,28
2023-07-19,601225.SH,0.0012718968,17
2023-07-19,601288.SH,-0.002988523,38
2023-07-19,601318.SH,-0.00029433117,23
2023-07-19,601398.SH,-0.0026547515,36
2023-07-19,601601.SH,-0.0045996294,41
2023-07-19,601668.SH,-0.0021182306,33
2023-07-19,601857.SH,0.001086893,18
2023-07-19,601888.SH,0.003614854,13
2023-07-19,601899.SH,-0.0028086456,37
2023-07-19,601919.SH,0.005716757,8
2023-07-19,601939.SH,-0.0018572714,29
2023-07-26,000001.SZ,0.0028979424,19
2023-07-26,000002.SZ,0.0022049346,26
2023-07-26,000333.SZ,-0.0013842655,37
2023-07-26,000568.SZ,-0.012768439,48
2023-07-26,000651.SZ,-0.0051410384,44
2023-07-26,000725.SZ,0.013269265,3
2023-07-26,000858.SZ,-0.009139691,47
2023-07-26,002027.SZ,0.0038651936,16
2023-07-26,002142.SZ,0.002280581,25
2023-07-26,002230.SZ,0.0040384466,14
2023-07-26,002304.SZ,-0.007099331,45
2023-07-26,002352.SZ,0.0014601131,30
2023-07-26,002415.SZ,-0.02905951,50
2023-07-26,002475.SZ,0.006161521,8
2023-07-26,002594.SZ,-0.0026304498,41
2023-07-26,002714.SZ,0.002370097,23
2023-07-26,300015.SZ,0.0036582942,17
2023-07-26,300059.SZ,0.0026891385,21
2023-07-26,300750.SZ,-0.003506405,42
2023-07-26,300760.SZ,-0.004881816,43
2023-07-26,600000.SH,0.006504123,7
2023-07-26,600028.SH,0.0018301972,27
2023-07-26,600030.SH,-0.0020327417,39
2023-07-26,600031.SH,-0.0003248761,34
2023-07-26,600036.SH,0.003106545,18
2023-07-26,600050.SH,0.008398438,6
